Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG01768	Spanish	1000G	1	HG01768_H2	24.42028074865614	-62.2159839614032
HG01770	Spanish	1000G	0	HG01770_H1	25.707768164925604	-63.51839248686909
HG01770	Spanish	1000G	1	HG01770_H2	24.858135084234412	-62.731785687699386
HG01771	Spanish	1000G	0	HG01771_H1	27.99696950328716	-66.02784699692725
HG01771	Spanish	1000G	1	HG01771_H2	25.595685974744008	-64.76252252432904
HG01773	Spanish	1000G	0	HG01773_H1	26.467505350860094	-64.67096849831
HG01773	Spanish	1000G	1	HG01773_H2	26.083131655442536	-63.69250270527925
HG01775	Spanish	1000G	0	HG01775_H1	27.3763445860774	-65.83742078051961
HG01775	Spanish	1000G	1	HG01775_H2	25.930783553300593	-65.73305790726445
HG01777	Spanish	1000G	0	HG01777_H1	25.933072795680097	-62.75466054381852
HG01777	Spanish	1000G	1	HG01777_H2	28.357565589632813	-64.37458085360893
HG01779	Spanish	1000G	0	HG01779_H1	25.616585262080058	-66.54572613480893
HG01779	Spanish	1000G	1	HG01779_H2	26.98395528271628	-62.431827070750586
HG01781	Spanish	1000G	0	HG01781_H1	26.655532099221574	-62.78655258651983
HG01781	Spanish	1000G	1	HG01781_H2	25.55404997530168	-64.84070573051518
HG01783	Spanish	1000G	0	HG01783_H1	24.727079613484015	-62.20533756022121
HG01783	Spanish	1000G	1	HG01783_H2	24.649065078852807	-62.358251284723025
HG01785	Spanish	1000G	0	HG01785_H1	27.692901029700202	-65.3689990940957
HG01785	Spanish	1000G	1	HG01785_H2	27.797987485972307	-64.59965103844407
HG01789	British	1000G	0	HG01789_H1	27.745449366885694	-63.85072293665354
HG01789	British	1000G	1	HG01789_H2	29.86230123701197	-64.87961317743328
HG01790	British	1000G	0	HG01790_H1	29.50294920002444	-63.43975657470132
HG01790	British	1000G	1	HG01790_H2	29.352777412619083	-65.5025392886889
HG01791	British	1000G	0	HG01791_H1	28.735940878928538	-64.48985307634398
HG01791	British	1000G	1	HG01791_H2	29.032329685945555	-63.83202973150475
HG01794	Dai Chinese	1000G	0	HG01794_H1	48.451514518481794	69.01740419454693
HG01794	Dai Chinese	1000G	1	HG01794_H2	47.54231452129465	70.33407636778617
HG01795	Dai Chinese	1000G	0	HG01795_H1	47.55485919249262	67.85679594617451
HG01795	Dai Chinese	1000G	1	HG01795_H2	46.487765304742275	65.77404665506272
HG01796	Dai Chinese	1000G	0	HG01796_H1	47.208240959419676	67.02422355591419
HG01796	Dai Chinese	1000G	1	HG01796_H2	48.50981206177314	68.6872466905201
HG01797	Dai Chinese	1000G	0	HG01797_H1	47.265668757991186	67.41305352390509
HG01797	Dai Chinese	1000G	1	HG01797_H2	47.525895337217754	66.93111029372197
HG01798	Dai Chinese	1000G	0	HG01798_H1	48.47947119442954	67.05356916786342
HG01798	Dai Chinese	1000G	1	HG01798_H2	47.88623362182617	67.16590519925022
HG01799	Dai Chinese	1000G	0	HG01799_H1	48.53154858181562	69.43091697536917
HG01799	Dai Chinese	1000G	1	HG01799_H2	48.95560730520089	68.14592615192034
HG01800	Dai Chinese	1000G	0	HG01800_H1	46.73928946479298	67.08355542175012
HG01800	Dai Chinese	1000G	1	HG01800_H2	47.78060214568628	68.85106888018171
HG01801	Dai Chinese	1000G	0	HG01801_H1	46.94676775003192	67.47933357410417
HG01801	Dai Chinese	1000G	1	HG01801_H2	46.004994781658745	66.26191323826241
HG01802	Dai Chinese	1000G	0	HG01802_H1	46.355684830866174	68.49434230306953
HG01802	Dai Chinese	1000G	1	HG01802_H2	47.165320402914396	67.14505194464148
HG01804	Dai Chinese	1000G	0	HG01804_H1	46.95700095092477	66.4261892689437
HG01804	Dai Chinese	1000G	1	HG01804_H2	48.30337684129737	67.29308839378797
HG01805	Dai Chinese	1000G	0	HG01805_H1	47.32436616154687	67.22229133171084
HG01805	Dai Chinese	1000G	1	HG01805_H2	47.28376883618383	68.0344161026633
HG01806	Dai Chinese	1000G	0	HG01806_H1	46.894944091925815	67.61936175198282
HG01806	Dai Chinese	1000G	1	HG01806_H2	46.90353265593979	67.74818689945725
HG01808	Dai Chinese	1000G	0	HG01808_H1	48.01452736498586	68.52581819928378
HG01808	Dai Chinese	1000G	1	HG01808_H2	47.85436118695805	66.19921611525916
HG01809	Dai Chinese	1000G	0	HG01809_H1	47.81206956905718	65.84645289494468
HG01809	Dai Chinese	1000G	1	HG01809_H2	46.94458538352594	68.72902673896532
HG01810	Dai Chinese	1000G	0	HG01810_H1	47.360717621964504	65.46169830100315
HG01810	Dai Chinese	1000G	1	HG01810_H2	47.85923560990525	68.82263888013954
HG01811	Dai Chinese	1000G	0	HG01811_H1	47.744114428045954	66.74551176108154
HG01811	Dai Chinese	1000G	1	HG01811_H2	48.181232172182085	68.09709867938042
HG01812	Dai Chinese	1000G	0	HG01812_H1	47.841787657349464	69.60570296395504
HG01812	Dai Chinese	1000G	1	HG01812_H2	47.72771471264087	67.67534983704222
HG01813	Dai Chinese	1000G	0	HG01813_H1	45.941297829525915	67.07517505540508
HG01813	Dai Chinese	1000G	1	HG01813_H2	47.653427841666165	67.7867167572035
HG01815	Dai Chinese	1000G	0	HG01815_H1	47.18003073823591	66.91425071141994
HG01815	Dai Chinese	1000G	1	HG01815_H2	47.30508172305732	66.3729718887934
HG01816	Dai Chinese	1000G	0	HG01816_H1	47.89671998541191	68.36640057221885
HG01816	Dai Chinese	1000G	1	HG01816_H2	47.12910309031613	68.42022741962039
HG01817	Dai Chinese	1000G	0	HG01817_H1	46.4074624613697	67.75105572687801
HG01817	Dai Chinese	1000G	1	HG01817_H2	46.96229009325791	68.01464233406317
HG01840	Kinh Vietnamese	1000G	0	HG01840_H1	46.880805619985274	67.06010464689078
HG01840	Kinh Vietnamese	1000G	1	HG01840_H2	46.335225094008116	65.25850401585433
HG01842	Kinh Vietnamese	1000G	0	HG01842_H1	47.666396323200495	64.83073789580139
HG01842	Kinh Vietnamese	1000G	1	HG01842_H2	46.08468440738648	65.50507743411247
HG01844	Kinh Vietnamese	1000G	0	HG01844_H1	46.66876646340899	65.12177797415988
HG01844	Kinh Vietnamese	1000G	1	HG01844_H2	46.84927193433386	65.18701070833441
HG01845	Kinh Vietnamese	1000G	0	HG01845_H1	46.270743179799815	65.04014657193763
HG01845	Kinh Vietnamese	1000G	1	HG01845_H2	47.0311901390641	66.23860571284932
HG01846	Kinh Vietnamese	1000G	0	HG01846_H1	46.561228294147064	65.34858154345183
HG01846	Kinh Vietnamese	1000G	1	HG01846_H2	46.741532804002766	62.533299043066464
HG01847	Kinh Vietnamese	1000G	0	HG01847_H1	46.8916284007123	62.65112792116656
HG01847	Kinh Vietnamese	1000G	1	HG01847_H2	47.15049877296236	65.71825411456796
HG01848	Kinh Vietnamese	1000G	0	HG01848_H1	47.110203512462924	66.74313104710134
HG01848	Kinh Vietnamese	1000G	1	HG01848_H2	46.42572288856962	64.94267571254883
HG01849	Kinh Vietnamese	1000G	0	HG01849_H1	48.53492248222039	64.49204660084786
HG01849	Kinh Vietnamese	1000G	1	HG01849_H2	46.62548736999586	63.564471977910884
HG01850	Kinh Vietnamese	1000G	0	HG01850_H1	47.27502875835524	67.04853088170067
HG01850	Kinh Vietnamese	1000G	1	HG01850_H2	45.512729208951846	63.08655227692499
HG01851	Kinh Vietnamese	1000G	0	HG01851_H1	46.817934587352845	67.61933187804067
HG01851	Kinh Vietnamese	1000G	1	HG01851_H2	47.45637693029777	67.51826376270056
HG01852	Kinh Vietnamese	1000G	0	HG01852_H1	47.50824784046167	65.55832024410546
HG01852	Kinh Vietnamese	1000G	1	HG01852_H2	48.54726634712467	64.92828566207976
HG01853	Kinh Vietnamese	1000G	0	HG01853_H1	46.99191099610652	65.54845400403417
HG01853	Kinh Vietnamese	1000G	1	HG01853_H2	46.90088398741951	65.06187496432085
HG01855	Kinh Vietnamese	1000G	0	HG01855_H1	47.16729706630215	65.56015675639742
HG01855	Kinh Vietnamese	1000G	1	HG01855_H2	45.90206318198258	63.317598869979264
HG01857	Kinh Vietnamese	1000G	0	HG01857_H1	47.421530110217084	66.7353413241476
HG01857	Kinh Vietnamese	1000G	1	HG01857_H2	47.53283398187502	65.43346301362054
HG01858	Kinh Vietnamese	1000G	0	HG01858_H1	46.72893251410127	67.30932122306623
HG01858	Kinh Vietnamese	1000G	1	HG01858_H2	46.98890664966013	65.07697925205727
HG01859	Kinh Vietnamese	1000G	0	HG01859_H1	47.70445945614387	66.75118593558395
HG01859	Kinh Vietnamese	1000G	1	HG01859_H2	48.10427896790505	66.36615039361043
HG01860	Kinh Vietnamese	1000G	0	HG01860_H1	46.896198288483426	66.47168952111333
HG01860	Kinh Vietnamese	1000G	1	HG01860_H2	47.96062558151289	68.47749354446334
HG01861	Kinh Vietnamese	1000G	0	HG01861_H1	47.3259573102063	65.57845949778827
HG01861	Kinh Vietnamese	1000G	1	HG01861_H2	47.82974936426013	63.95917684415363
HG01862	Kinh Vietnamese	1000G	0	HG01862_H1	46.889355177876446	65.77690052780416
HG01862	Kinh Vietnamese	1000G	1	HG01862_H2	47.761292507658474	66.0941163604081
HG01863	Kinh Vietnamese	1000G	0	HG01863_H1	47.580226506519814	66.43744626437983
HG01863	Kinh Vietnamese	1000G	1	HG01863_H2	48.149653752255524	66.87170313488267
HG01864	Kinh Vietnamese	1000G	0	HG01864_H1	46.82130604020009	66.72188318870796
HG01864	Kinh Vietnamese	1000G	1	HG01864_H2	46.946429602382416	65.2400275689831
HG01865	Kinh Vietnamese	1000G	0	HG01865_H1	47.15716673655586	63.7663430985866
HG01865	Kinh Vietnamese	1000G	1	HG01865_H2	48.344977216530644	66.34407577469754
HG01866	Kinh Vietnamese	1000G	0	HG01866_H1	47.016341747026836	64.4078278229691
HG01866	Kinh Vietnamese	1000G	1	HG01866_H2	46.1768901481397	64.13994543145975
HG01867	Kinh Vietnamese	1000G	0	HG01867_H1	47.074601288717666	65.69655229157217
HG01867	Kinh Vietnamese	1000G	1	HG01867_H2	46.411696370134514	64.34514342408734
HG01868	Kinh Vietnamese	1000G	0	HG01868_H1	47.62409602090273	65.79826208695646
HG01868	Kinh Vietnamese	1000G	1	HG01868_H2	48.02171327209502	66.51774970360029
HG01869	Kinh Vietnamese	1000G	0	HG01869_H1	48.02116894936295	65.89162470963129
HG01869	Kinh Vietnamese	1000G	1	HG01869_H2	47.12700432675886	66.42467712496301
HG01870	Kinh Vietnamese	1000G	0	HG01870_H1	46.4701412773419	66.3978954149994
HG01870	Kinh Vietnamese	1000G	1	HG01870_H2	47.2295777001188	66.01322044583652
HG01871	Kinh Vietnamese	1000G	0	HG01871_H1	48.2324063667452	65.2027161559891
HG01871	Kinh Vietnamese	1000G	1	HG01871_H2	46.55131336918786	65.81928170771623
HG01872	Kinh Vietnamese	1000G	0	HG01872_H1	46.52814419906263	66.81250788176065
HG01872	Kinh Vietnamese	1000G	1	HG01872_H2	47.63384636851929	63.605528187163
HG01873	Kinh Vietnamese	1000G	0	HG01873_H1	47.42327446681018	65.69927500675568
HG01873	Kinh Vietnamese	1000G	1	HG01873_H2	46.923781728672886	65.1199452101803
HG01874	Kinh Vietnamese	1000G	0	HG01874_H1	48.39914502131071	64.83851350221201
HG01874	Kinh Vietnamese	1000G	1	HG01874_H2	46.66351622341613	64.86959762495931
HG01878	Kinh Vietnamese	1000G	0	HG01878_H1	47.43098750881963	65.10130991449529
HG01878	Kinh Vietnamese	1000G	1	HG01878_H2	47.61704399400569	65.03924527640373
HG01917	Peruvian	1000G	0	HG01917_H1	38.23292044437107	15.961840816573439
HG01917	Peruvian	1000G	1	HG01917_H2	36.21031315670845	7.998823149128665
HG01920	Peruvian	1000G	0	HG01920_H1	41.42471938110192	19.998303052575704
HG01920	Peruvian	1000G	1	HG01920_H2	42.02166726149111	22.732444407652775
HG01923	Peruvian	1000G	0	HG01923_H1	41.33269847455707	20.643716206746735
HG01923	Peruvian	1000G	1	HG01923_H2	39.88478137600296	19.083721475102646
HG01953	Peruvian	1000G	0	HG01953_H1	38.58178290990025	15.71971402655743
HG01953	Peruvian	1000G	1	HG01953_H2	38.686481157600234	13.77411410524542
HG01954	Peruvian	1000G	0	HG01954_H1	40.03856623809895	15.23378042996801
HG01954	Peruvian	1000G	1	HG01954_H2	40.694501806915284	17.024897954442434
HG01961	Peruvian	1000G	0	HG01961_H1	42.87374421576077	23.534937985798567
HG01961	Peruvian	1000G	1	HG01961_H2	41.621240641834	22.96474060958578
HG01997	Peruvian	1000G	0	HG01997_H1	40.65784431503028	17.68774438789018
HG01997	Peruvian	1000G	1	HG01997_H2	38.44950616904225	10.373792644984949
HG02020	Kinh Vietnamese	1000G	0	HG02020_H1	46.352208772920015	65.80691510269465
HG02020	Kinh Vietnamese	1000G	1	HG02020_H2	46.123510290178395	64.27721074242326
HG02023	Kinh Vietnamese	1000G	0	HG02023_H1	46.13029809319169	66.15056390668994
HG02023	Kinh Vietnamese	1000G	1	HG02023_H2	46.37180703756558	66.00293010378435
HG02025	Kinh Vietnamese	1000G	0	HG02025_H1	48.19065681490256	66.61840144106158
HG02025	Kinh Vietnamese	1000G	1	HG02025_H2	46.99149349495968	66.25859064725063
HG02026	Kinh Vietnamese	1000G	0	HG02026_H1	48.795366462248104	67.81981710665636
HG02026	Kinh Vietnamese	1000G	1	HG02026_H2	45.95594179959881	66.3698618636593
HG02031	Kinh Vietnamese	1000G	0	HG02031_H1	46.81719409400838	67.5197841696612
HG02031	Kinh Vietnamese	1000G	1	HG02031_H2	47.39917890781121	67.69862842017262
HG02032	Kinh Vietnamese	1000G	0	HG02032_H1	47.60082855935497	67.31762692682256
HG02032	Kinh Vietnamese	1000G	1	HG02032_H2	47.93734496872188	66.87164918197712
HG02035	Kinh Vietnamese	1000G	0	HG02035_H1	47.160014441655896	65.46711258874066
HG02035	Kinh Vietnamese	1000G	1	HG02035_H2	46.26079754844647	65.11670248142056
HG02047	Kinh Vietnamese	1000G	0	HG02047_H1	46.92418541718505	66.1634315736726
HG02047	Kinh Vietnamese	1000G	1	HG02047_H2	47.84470416241384	65.24231588893903
HG02048	Kinh Vietnamese	1000G	0	HG02048_H1	46.67746134342412	65.13343147401828
HG02048	Kinh Vietnamese	1000G	1	HG02048_H2	47.62734033205313	64.00704855912913
HG02049	Kinh Vietnamese	1000G	0	HG02049_H1	46.69351619388858	65.50101581709163
HG02049	Kinh Vietnamese	1000G	1	HG02049_H2	47.042536540707765	65.5953074529355
HG02050	Kinh Vietnamese	1000G	0	HG02050_H1	46.7311723870157	65.55661434242158
HG02050	Kinh Vietnamese	1000G	1	HG02050_H2	47.736484810895625	65.84209086402835
HG02060	Kinh Vietnamese	1000G	0	HG02060_H1	47.34113678042058	65.1172812406568
HG02060	Kinh Vietnamese	1000G	1	HG02060_H2	47.89573548709303	65.78359952229678
HG02061	Kinh Vietnamese	1000G	0	HG02061_H1	47.43735274017798	65.32812547630299
HG02061	Kinh Vietnamese	1000G	1	HG02061_H2	46.69218536445583	64.28217585027961
HG02064	Kinh Vietnamese	1000G	0	HG02064_H1	45.69162275487867	65.80586953084158
HG02064	Kinh Vietnamese	1000G	1	HG02064_H2	47.49182934201179	65.59833071779677
HG02067	Kinh Vietnamese	1000G	0	HG02067_H1	46.84032834289696	64.87346041132115
HG02067	Kinh Vietnamese	1000G	1	HG02067_H2	46.66138879677286	65.24005408964517
HG02069	Kinh Vietnamese	1000G	0	HG02069_H1	45.746887872494874	65.94692751125405
HG02069	Kinh Vietnamese	1000G	1	HG02069_H2	46.63426311418085	62.72404893492954
HG02070	Kinh Vietnamese	1000G	0	HG02070_H1	47.962296011080745	65.28619893313989
HG02070	Kinh Vietnamese	1000G	1	HG02070_H2	46.248190795306705	65.12342647369564
HG02078	Kinh Vietnamese	1000G	0	HG02078_H1	48.06892418184514	65.15097590657116
HG02078	Kinh Vietnamese	1000G	1	HG02078_H2	47.226732839277695	67.9544357175748
HG02079	Kinh Vietnamese	1000G	0	HG02079_H1	46.77999971009309	67.25721682094895
HG02079	Kinh Vietnamese	1000G	1	HG02079_H2	46.51506331922783	66.27676214255813
HG02086	Kinh Vietnamese	1000G	0	HG02086_H1	46.83147560307041	65.39022001323069
HG02086	Kinh Vietnamese	1000G	1	HG02086_H2	47.04682303962603	65.02313265532769
HG02087	Kinh Vietnamese	1000G	0	HG02087_H1	46.98246239154279	64.87810912374175
HG02087	Kinh Vietnamese	1000G	1	HG02087_H2	46.49090602110788	66.21329059118592
HG02088	Kinh Vietnamese	1000G	0	HG02088_H1	46.913670742360345	66.79039590738132
HG02088	Kinh Vietnamese	1000G	1	HG02088_H2	47.42530834505758	67.2693018600789
HG02104	Peruvian	1000G	0	HG02104_H1	38.324829842427455	16.429373651861933
HG02104	Peruvian	1000G	1	HG02104_H2	40.543298877192555	16.07096722035605
HG02105	Peruvian	1000G	0	HG02105_H1	42.03225039328009	16.064938800474987
HG02105	Peruvian	1000G	1	HG02105_H2	41.96636773635198	21.858087385132084
HG02113	Kinh Vietnamese	1000G	0	HG02113_H1	47.65817106748309	65.1324086024659
HG02113	Kinh Vietnamese	1000G	1	HG02113_H2	47.601564296993054	65.622599420277
HG02116	Kinh Vietnamese	1000G	0	HG02116_H1	47.42379082873695	63.67111214667665
HG02116	Kinh Vietnamese	1000G	1	HG02116_H2	47.72759018310817	64.39185968141201
HG02121	Kinh Vietnamese	1000G	0	HG02121_H1	46.503115423779725	64.80157470923477
HG02121	Kinh Vietnamese	1000G	1	HG02121_H2	47.35056934076449	65.32296562047163
HG02122	Kinh Vietnamese	1000G	0	HG02122_H1	47.12933267384145	67.0942661521305
HG02122	Kinh Vietnamese	1000G	1	HG02122_H2	46.091240857001246	67.49458415011648
HG02127	Kinh Vietnamese	1000G	0	HG02127_H1	47.156208797909876	65.62294156683475
HG02127	Kinh Vietnamese	1000G	1	HG02127_H2	47.13864390082049	66.97896439510573
HG02128	Kinh Vietnamese	1000G	0	HG02128_H1	47.28155528938553	63.48014495088712
HG02128	Kinh Vietnamese	1000G	1	HG02128_H2	47.339107129215826	65.18575134701021
HG02138	Kinh Vietnamese	1000G	0	HG02138_H1	45.78616908387749	64.86122710320372
HG02138	Kinh Vietnamese	1000G	1	HG02138_H2	47.13104805540235	64.81103985498642
HG02139	Kinh Vietnamese	1000G	0	HG02139_H1	46.776789162246	65.47016314414313
HG02139	Kinh Vietnamese	1000G	1	HG02139_H2	47.319597034877326	65.2477055168444
HG02141	Kinh Vietnamese	1000G	0	HG02141_H1	47.91903754305937	64.66266001187219
HG02141	Kinh Vietnamese	1000G	1	HG02141_H2	46.957046135276634	65.11386703583025
HG02142	Kinh Vietnamese	1000G	0	HG02142_H1	45.983232324083126	55.53369152196815
HG02142	Kinh Vietnamese	1000G	1	HG02142_H2	44.91336287435585	50.664409549691115
HG02150	Peruvian	1000G	0	HG02150_H1	41.04637921537881	18.183518875296986
HG02150	Peruvian	1000G	1	HG02150_H2	41.513502562618825	20.40246350826749
HG02151	Dai Chinese	1000G	0	HG02151_H1	47.849525137061484	66.45822760934891
HG02151	Dai Chinese	1000G	1	HG02151_H2	46.05321160802742	65.9447495297157
HG02152	Dai Chinese	1000G	0	HG02152_H1	47.61875171613547	67.56043718441445
HG02152	Dai Chinese	1000G	1	HG02152_H2	47.425601264512885	67.70136051391194
HG02153	Dai Chinese	1000G	0	HG02153_H1	47.1037153276798	65.7866842134744
HG02153	Dai Chinese	1000G	1	HG02153_H2	47.222522191394496	66.27221039815318
HG02154	Dai Chinese	1000G	0	HG02154_H1	48.40810669088072	66.80012460890374
HG02154	Dai Chinese	1000G	1	HG02154_H2	48.073587000275374	68.0647109646353
HG02156	Dai Chinese	1000G	0	HG02156_H1	48.09029216009251	67.46654213934063
HG02156	Dai Chinese	1000G	1	HG02156_H2	46.726133317001874	67.15816109780043
HG02164	Dai Chinese	1000G	0	HG02164_H1	46.894849047678825	67.06732537621913
HG02164	Dai Chinese	1000G	1	HG02164_H2	47.63254296258916	66.31266369899522
HG02166	Dai Chinese	1000G	0	HG02166_H1	47.73318708014174	67.95165894943867
HG02166	Dai Chinese	1000G	1	HG02166_H2	47.62170464051537	68.76525184115083
HG02179	Dai Chinese	1000G	0	HG02179_H1	46.54931071483198	65.77696413856104
HG02179	Dai Chinese	1000G	1	HG02179_H2	47.27669838819924	66.55859915936811
HG02180	Dai Chinese	1000G	0	HG02180_H1	47.97171497657552	68.31730782771243
HG02180	Dai Chinese	1000G	1	HG02180_H2	48.42736974336723	69.47776032551384
HG02181	Dai Chinese	1000G	0	HG02181_H1	47.25023957017077	66.74224754885094
HG02181	Dai Chinese	1000G	1	HG02181_H2	46.81044366750498	67.48224156777498
HG02182	Dai Chinese	1000G	0	HG02182_H1	47.74689705205126	68.12211106104216
HG02182	Dai Chinese	1000G	1	HG02182_H2	47.81937537411202	68.05435589288273
HG02184	Dai Chinese	1000G	0	HG02184_H1	47.859632019057734	67.25612503293387
HG02184	Dai Chinese	1000G	1	HG02184_H2	47.78780836188964	67.86837607034865
HG02185	Dai Chinese	1000G	0	HG02185_H1	48.700590436357636	67.34927079262091
HG02185	Dai Chinese	1000G	1	HG02185_H2	46.398287911857715	66.3093358634371
HG02186	Dai Chinese	1000G	0	HG02186_H1	48.056139521734956	67.11059267020165
HG02186	Dai Chinese	1000G	1	HG02186_H2	47.06442092979987	67.83200645337753
HG02187	Dai Chinese	1000G	0	HG02187_H1	46.830646176433255	68.02655032682355
HG02187	Dai Chinese	1000G	1	HG02187_H2	46.93734504565624	69.21572189654167
HG02188	Dai Chinese	1000G	0	HG02188_H1	47.7057791194194	67.89575128547392
HG02188	Dai Chinese	1000G	1	HG02188_H2	47.0318138955812	68.66901519124171
HG02190	Dai Chinese	1000G	0	HG02190_H1	47.701191408039385	67.00366518614331
HG02190	Dai Chinese	1000G	1	HG02190_H2	47.5271201480552	67.7508369641788
HG02215	British	1000G	0	HG02215_H1	29.549398958090997	-63.93249749744186
HG02215	British	1000G	1	HG02215_H2	29.30211264216657	-64.92907166476611
HG02219	Spanish	1000G	0	HG02219_H1	25.905314172039603	-63.6343028801646
HG02219	Spanish	1000G	1	HG02219_H2	26.312549635687446	-64.53763030134778
HG02220	Spanish	1000G	0	HG02220_H1	26.861963541318303	-64.14607956633
HG02220	Spanish	1000G	1	HG02220_H2	27.05934401077048	-62.21149251264475
HG02221	Spanish	1000G	0	HG02221_H1	25.03724049848953	-64.7706284682132
HG02221	Spanish	1000G	1	HG02221_H2	26.84409474504662	-62.38503295983567
HG02223	Spanish	1000G	0	HG02223_H1	26.831852152064286	-64.12807953126915
HG02223	Spanish	1000G	1	HG02223_H2	25.58941630855454	-63.364297366614764
HG02224	Spanish	1000G	0	HG02224_H1	28.03552407650325	-63.43342771795463
HG02224	Spanish	1000G	1	HG02224_H2	27.97694499632309	-65.08927327026447
HG02230	Spanish	1000G	0	HG02230_H1	27.474332759068282	-65.29216044716827
HG02230	Spanish	1000G	1	HG02230_H2	27.613318623897655	-64.80377897677225
HG02231	Spanish	1000G	0	HG02231_H1	26.339521031881993	-64.17928421521663
HG02231	Spanish	1000G	1	HG02231_H2	26.59916913605847	-63.83293152919124
HG02232	Spanish	1000G	0	HG02232_H1	23.39969355029283	-63.53435198334665
HG02232	Spanish	1000G	1	HG02232_H2	25.170381288345	-64.59786045642814
HG02233	Spanish	1000G	0	HG02233_H1	24.072308663098973	-63.057574978224366
HG02233	Spanish	1000G	1	HG02233_H2	24.92826923189464	-62.51757925334104
HG02235	Spanish	1000G	0	HG02235_H1	26.29304233262655	-63.84704450068642
HG02235	Spanish	1000G	1	HG02235_H2	24.885184875266432	-61.873513737457145
HG02236	Spanish	1000G	0	HG02236_H1	26.548521241092494	-64.12217223884502
HG02236	Spanish	1000G	1	HG02236_H2	25.602294128595794	-62.870351288069614
HG02239	Spanish	1000G	0	HG02239_H1	24.851774009121257	-63.51707458449194
HG02239	Spanish	1000G	1	HG02239_H2	23.619966140805616	-59.20889545732929
HG02250	Dai Chinese	1000G	0	HG02250_H1	47.51407234823352	66.25958537899487
HG02250	Dai Chinese	1000G	1	HG02250_H2	46.73100383903503	66.55039453981679
HG02259	Peruvian	1000G	0	HG02259_H1	40.79704344263902	23.99724533569253
HG02259	Peruvian	1000G	1	HG02259_H2	41.950594235372	22.068060720915565
HG02265	Peruvian	1000G	0	HG02265_H1	40.085577989210876	16.446315725305855
HG02265	Peruvian	1000G	1	HG02265_H2	41.857099377123625	18.390171561057326
HG02266	Peruvian	1000G	0	HG02266_H1	39.84717126484764	20.32472181423275
HG02266	Peruvian	1000G	1	HG02266_H2	40.82610930151072	18.85905332450007
HG02275	Peruvian	1000G	0	HG02275_H1	42.42537693684434	21.113908240886406
HG02275	Peruvian	1000G	1	HG02275_H2	41.026032903149954	19.41155129294989
HG02278	Peruvian	1000G	0	HG02278_H1	38.22716952076557	18.267476670267495
HG02278	Peruvian	1000G	1	HG02278_H2	38.917721117000944	15.92789802432306
HG02351	Dai Chinese	1000G	0	HG02351_H1	46.72638284663223	65.29435585300786
HG02351	Dai Chinese	1000G	1	HG02351_H2	46.67327566574523	66.83870946747605
HG02353	Dai Chinese	1000G	0	HG02353_H1	46.95143650984216	66.94510210964428
HG02353	Dai Chinese	1000G	1	HG02353_H2	47.11526362219863	68.26428603959798
HG02355	Dai Chinese	1000G	0	HG02355_H1	47.12942296434206	66.98815180458341
HG02355	Dai Chinese	1000G	1	HG02355_H2	48.25876736257032	67.19684350501639
HG02360	Dai Chinese	1000G	0	HG02360_H1	47.07625599807164	67.27241544001322
HG02360	Dai Chinese	1000G	1	HG02360_H2	47.031579744569704	67.1255621850406
HG02364	Dai Chinese	1000G	0	HG02364_H1	46.38784339370654	68.40791999838018
HG02364	Dai Chinese	1000G	1	HG02364_H2	45.409467392478966	68.64849372160083
HG02367	Dai Chinese	1000G	0	HG02367_H1	47.02075296846912	66.91155521607581
HG02367	Dai Chinese	1000G	1	HG02367_H2	47.199249106898115	68.58962785449899
HG02371	Dai Chinese	1000G	0	HG02371_H1	47.2278784609941	68.40206518833992
HG02371	Dai Chinese	1000G	1	HG02371_H2	48.85941246329043	67.11549390099574
HG02373	Dai Chinese	1000G	0	HG02373_H1	46.595144900895924	66.86920041139972
HG02373	Dai Chinese	1000G	1	HG02373_H2	46.720235161839334	67.92617582205696
HG02374	Dai Chinese	1000G	0	HG02374_H1	48.08293595532236	65.76125799326013
HG02374	Dai Chinese	1000G	1	HG02374_H2	47.20582461532968	66.74443535333911
HG02375	Dai Chinese	1000G	0	HG02375_H1	47.00164712004666	67.55747119872939
HG02375	Dai Chinese	1000G	1	HG02375_H2	47.78992505834541	67.76017441260001
HG02379	Dai Chinese	1000G	0	HG02379_H1	47.308297463927666	66.31137303559811
HG02379	Dai Chinese	1000G	1	HG02379_H2	47.6274126067408	66.72352412240605
HG02380	Dai Chinese	1000G	0	HG02380_H1	48.50008272502658	68.83186630928707
HG02380	Dai Chinese	1000G	1	HG02380_H2	47.19746865387159	68.27299256770317
HG02382	Dai Chinese	1000G	0	HG02382_H1	47.74546486022414	66.6658568140597
HG02382	Dai Chinese	1000G	1	HG02382_H2	46.218394371948484	67.72660208124117
HG02383	Dai Chinese	1000G	0	HG02383_H1	47.746379414661895	66.8694547308686
HG02383	Dai Chinese	1000G	1	HG02383_H2	47.41158802175152	67.19833866369676
HG02385	Dai Chinese	1000G	0	HG02385_H1	47.05204464964074	67.66485109350288
HG02385	Dai Chinese	1000G	1	HG02385_H2	46.919799676208605	68.63915051279623
HG02386	Dai Chinese	1000G	0	HG02386_H1	46.871239535595414	64.8101441076309
HG02386	Dai Chinese	1000G	1	HG02386_H2	47.384440043844	66.00642575371549
HG02389	Dai Chinese	1000G	0	HG02389_H1	48.27386043639272	69.01122542679148
