Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG00130	British	1000G	1	HG00130_H2	28.477677251020857	-64.418949251682
HG00131	British	1000G	0	HG00131_H1	29.072833317512924	-63.54152995799262
HG00131	British	1000G	1	HG00131_H2	28.35254433621656	-64.37335734759024
HG00132	British	1000G	0	HG00132_H1	29.420716805637184	-65.51500774554353
HG00132	British	1000G	1	HG00132_H2	29.009017178244797	-64.01949074964658
HG00136	British	1000G	0	HG00136_H1	29.035553995627467	-63.396856329980565
HG00136	British	1000G	1	HG00136_H2	29.192886228970693	-64.48011659183574
HG00137	British	1000G	0	HG00137_H1	28.786683140731085	-65.09924462429132
HG00137	British	1000G	1	HG00137_H2	29.703718761471144	-64.70730139161614
HG00138	British	1000G	0	HG00138_H1	29.652829210683343	-63.83389698511323
HG00138	British	1000G	1	HG00138_H2	28.67858352950941	-64.96732636744262
HG00139	British	1000G	0	HG00139_H1	28.67109171614566	-64.71111452729164
HG00139	British	1000G	1	HG00139_H2	29.372506448261987	-65.06660874061298
HG00141	British	1000G	0	HG00141_H1	29.66026520124845	-63.77939762578431
HG00141	British	1000G	1	HG00141_H2	29.868949226085427	-65.06376468726909
HG00143	British	1000G	0	HG00143_H1	28.45253647453456	-64.24438144998395
HG00143	British	1000G	1	HG00143_H2	29.18089160341671	-64.98215538777094
HG00145	British	1000G	0	HG00145_H1	30.318075732263253	-62.41961808924604
HG00145	British	1000G	1	HG00145_H2	28.731702634655058	-63.756978661139556
HG00148	British	1000G	0	HG00148_H1	29.371985059155506	-65.06109615740866
HG00148	British	1000G	1	HG00148_H2	30.447254202740176	-64.59476919634251
HG00149	British	1000G	0	HG00149_H1	29.493394305654554	-65.8455351202566
HG00149	British	1000G	1	HG00149_H2	27.54216713076194	-65.12880527550529
HG00150	British	1000G	0	HG00150_H1	29.805553744677255	-63.55957013890951
HG00150	British	1000G	1	HG00150_H2	29.292353837779956	-62.99253902315685
HG00151	British	1000G	0	HG00151_H1	28.577586560082025	-63.86969337613543
HG00151	British	1000G	1	HG00151_H2	30.145761678018197	-62.93589552457988
HG00155	British	1000G	0	HG00155_H1	29.733557906796065	-63.83879677721822
HG00155	British	1000G	1	HG00155_H2	30.69662759676497	-63.86642862664502
HG00157	British	1000G	0	HG00157_H1	28.785218223005735	-64.2457781863211
HG00157	British	1000G	1	HG00157_H2	28.690473035107033	-63.61148014927225
HG00158	British	1000G	0	HG00158_H1	28.89452819179111	-62.912457007978375
HG00158	British	1000G	1	HG00158_H2	29.29412097838643	-61.95133845429042
HG00159	British	1000G	0	HG00159_H1	29.49629959767274	-63.69459422907336
HG00159	British	1000G	1	HG00159_H2	29.52526197782187	-64.83715164531985
HG00160	British	1000G	0	HG00160_H1	30.42775151309796	-64.9928272099413
HG00160	British	1000G	1	HG00160_H2	29.094455860419018	-64.51281143894366
HG00171	Finnish	1000G	0	HG00171_H1	32.73316686660913	-55.45459078852982
HG00171	Finnish	1000G	1	HG00171_H2	33.36246786817475	-54.26861326675501
HG00173	Finnish	1000G	0	HG00173_H1	32.58316584765526	-55.23566078670322
HG00173	Finnish	1000G	1	HG00173_H2	32.8109432104894	-55.96270098291784
HG00174	Finnish	1000G	0	HG00174_H1	31.775640396755698	-58.65710089896429
HG00174	Finnish	1000G	1	HG00174_H2	30.99293161002541	-60.01164827311034
HG00176	Finnish	1000G	0	HG00176_H1	31.468223762773405	-54.94919230631069
HG00176	Finnish	1000G	1	HG00176_H2	32.02935724149329	-55.40153529402383
HG00177	Finnish	1000G	0	HG00177_H1	32.30569156296071	-53.27754088215114
HG00177	Finnish	1000G	1	HG00177_H2	32.26652079427278	-54.029270565711215
HG00178	Finnish	1000G	0	HG00178_H1	32.175325470063825	-56.45880867359372
HG00178	Finnish	1000G	1	HG00178_H2	32.26620214306925	-56.35555010425299
HG00179	Finnish	1000G	0	HG00179_H1	30.514615594720333	-55.299989053329284
HG00179	Finnish	1000G	1	HG00179_H2	30.958546420626753	-55.266219503046464
HG00180	Finnish	1000G	0	HG00180_H1	31.720029259531834	-54.33511180339938
HG00180	Finnish	1000G	1	HG00180_H2	32.76274589336869	-56.04848582183624
HG00181	Finnish	1000G	0	HG00181_H1	27.33465717079467	-58.182423487225364
HG00181	Finnish	1000G	1	HG00181_H2	29.836860411107487	-55.31824869344011
HG00182	Finnish	1000G	0	HG00182_H1	31.084779483391557	-55.02155564086512
HG00182	Finnish	1000G	1	HG00182_H2	30.64043044630555	-53.12427730229504
HG00183	Finnish	1000G	0	HG00183_H1	31.82589768184784	-56.2301341857665
HG00183	Finnish	1000G	1	HG00183_H2	32.42350154132722	-55.75988083763708
HG00185	Finnish	1000G	0	HG00185_H1	32.73911119798638	-54.444622684769826
HG00185	Finnish	1000G	1	HG00185_H2	31.445680555210913	-54.25441285201141
HG00186	Finnish	1000G	0	HG00186_H1	31.760019462206323	-55.76590710702105
HG00186	Finnish	1000G	1	HG00186_H2	32.07883610014905	-55.570351032840804
HG00187	Finnish	1000G	0	HG00187_H1	30.917846606482215	-53.2331742083945
HG00187	Finnish	1000G	1	HG00187_H2	31.232881697276355	-54.279654360661354
HG00188	Finnish	1000G	0	HG00188_H1	31.426051914735112	-56.30407948698851
